gid,lbl,val_200,d_name,cctv_mod,g2_env,g3_flow,w1_female,w2_dandock,index_k,index_rank
다사426437,477,477,개봉2동,4.577,0,5,1,1.041,9.969657,678
다사455437,8,8,구로2동,10,0,4.5,1,1.041,15.0945,108
다사426449,290,290,고척2동,2.697,0.15,3,1,1.041,6.086727,1000
다사450451,N/A,0,구로2동,0,0.135,2,1,1,2.135,1398
다사425450,169,169,고척2동,3.916,0.225,3,1,1.041,7.433781,877
다사397420,56,56,항동,10,0,1.5,1,1,11.5,491
다사455457,845,845,신도림동,9.226,0,5,1,1,14.226,192
다사458455,449,449,신도림동,10,0,5,1.095,1,16.425,14
다사417431,189,189,오류2동,10,0,5,1.095,1,16.425,14
다사406444,303,303,수궁동,4.987,0,2,1,1,6.987,915
다사423445,N/A,0,개봉1동,0,0,3,1,1,3,1290
다사455442,317,317,구로2동,0.039,0,2.5,1,1.041,2.643099,1332
다사460437,638,638,구로4동,3.018,0.21,4.5,1,1.041,8.044848,833
다사461447,780,780,구로5동,3.718,0,4.5,1.095,1,8.99871,749
다사403423,209,209,항동,10,0,1.5,1,1,11.5,491
다사453432,243,243,가리봉동,0.217,0,3,1,1.041,3.348897,1274
다사462455,N/A,0,구로5동,0,0,2.5,1,1,2.5,1344
다사401423,403,403,항동,10,0,1.5,1.095,1,12.5925,347
다사422428,276,276,오류2동,9.534,0,4.5,1.095,1,15.36723,90
다사430455,75,75,고척2동,5.697,0,1,1,1,6.697,939
다사447454,N/A,0,구로2동,0,0.525,1.5,1,1,2.025,1401
다사425454,154,154,고척2동,1.561,0,3,1,1.041,4.748001,1135
다사447432,121,121,구로1동,10,0,1,1,1,11,559
다사448432,604,604,구로1동,10,0,2.5,1,1,12.5,380
다사405447,130,130,수궁동,9.893,0,1,1,1,10.893,579
다사430454,151,151,고척2동,1.524,0,2.5,1,1.041,4.188984,1178
다사448453,100,100,구로2동,9.608,0,5,1,1,14.608,151
다사422447,118,118,개봉1동,5.613,0,4.5,1,1.041,10.527633,618
다사464423,417,417,가리봉동,9.43,0,4,1.095,1,14.70585,146
다사461454,N/A,0,구로5동,0,0.05,2.5,1,1,2.55,1342
다사426451,390,390,고척2동,0,0,3,1,1.041,3.123,1283
다사404422,532,532,항동,10,0,1.5,1.095,1,12.5925,347
다사411441,342,342,수궁동,5.111,0,3,1,1.041,8.443551,797
다사400439,169,169,수궁동,6.193,0,1.5,1.095,1.041,8.769212235,770
다사456431,191,191,구로2동,2.684,1.365,4,1,1.041,8.379009,800
다사397439,293,293,수궁동,6.307,0,3,1,1,9.307,724
다사433437,1235,1235,개봉2동,10,0,4.5,1,1,14.5,160
다사436451,429,429,고척1동,4.659,0.715,4.5,1,1,9.874,685
다사410446,7,7,수궁동,10,0,1.5,1,1.041,11.9715,445
다사400422,104,104,항동,10,0,1.5,1.095,1,12.5925,347
다사434437,877,877,개봉2동,5.38,0,4.5,1,1.041,10.28508,643
다사458438,405,405,구로2동,0.008,0,3.5,1,1.041,3.651828,1236
다사458445,397,397,구로5동,0.617,0,4,1.095,1.041,5.262895215,1077
다사416433,207,207,오류2동,9.553,0,5,1.095,1.041,16.58889194,10
다사438447,451,451,고척1동,10,0,5,1.095,1,16.425,14
다사409439,37,37,오류2동,10,0,4,1,1,14,210
다사417423,595,595,오류2동,10,0,4.5,1,1,14.5,160
다사413434,156,156,오류2동,5.278,0,5,1,1,10.278,644
다사469430,158,158,구로3동,3.502,0,4,1.095,1,8.21469,822
다사399447,N/A,0,수궁동,0,0,1,1,1,1,1564
다사461434,696,696,구로3동,9.628,0.515,5,1,1,15.143,106
다사428457,462,462,고척2동,4.205,0,4,1,1.041,8.541405,791
다사414442,408,408,오류1동,3.309,0,5,1.095,1,9.098355,737
다사416439,694,694,오류2동,8.013,0.455,5,1,1,13.468,265
다사433443,33,33,개봉1동,4.838,0.715,4.5,1,1,10.053,673
다사417441,380,380,오류1동,9.894,1.315,3.5,1.095,1,16.106355,51
다사423442,656,656,오류1동,9.218,0,1,1.095,1,11.18871,544
다사433433,101,101,개봉3동,4.077,0,2,1,1.041,6.326157,979
다사417430,219,219,오류2동,9.586,0,4,1.095,1,14.87667,128
