gid,d_name,area,
다사459432,구로3동,9841.245,구로3동
다사459432,구로3동,158.755,구로3동
다사455455,신도림동,10000,신도림동
다사432445,고척1동,10000,고척1동
다사436446,고척1동,10000,고척1동
다사454436,구로2동,10000,구로2동
다사460440,구로2동,2421.565,구로2동
다사460440,구로2동,7578.435,구로2동
다사400421,항동,9815.319,항동
다사426429,개봉3동,10000,개봉3동
다사430452,고척2동,10000,고척2동
다사415424,오류2동,10000,오류2동
다사453463,신도림동,10000,신도림동
다사428441,개봉2동,10000,개봉2동
다사432451,고척1동,8580.966,고척1동
다사432451,고척1동,1419.034,고척1동
다사432453,고척2동,10000,고척2동
다사437452,고척1동,8094.771,고척1동
다사454438,구로2동,10000,구로2동
다사454458,신도림동,10000,신도림동
다사455441,구로2동,10000,구로2동
다사437442,개봉1동,4738.93,개봉1동
다사437442,개봉1동,5261.07,개봉1동
다사401443,수궁동,10000,수궁동
다사453438,구로2동,10000,구로2동
다사456436,구로2동,3532.237,구로2동
다사456436,구로2동,6467.763,구로2동
다사449436,구로1동,10000,구로1동
다사450456,신도림동,10000,신도림동
다사404446,수궁동,10000,수궁동
다사455440,구로2동,10000,구로2동
다사454445,구로2동,10000,구로2동
다사408446,수궁동,10000,수궁동
다사433444,고척1동,8739.767,고척1동
다사433444,고척1동,1260.233,고척1동
다사421426,오류2동,9438.883,오류2동
