gid,d_name,area,
다사460434,구로4동,3040.614,구로4동
다사460434,구로4동,6959.386,구로4동
다사435439,개봉2동,10000,개봉2동
다사456446,구로5동,9970.156,구로5동
다사456446,구로5동,29.844,구로5동
다사432435,개봉3동,10000,개봉3동
다사435448,고척1동,10000,고척1동
다사449438,구로1동,10000,구로1동
다사398439,수궁동,10000,수궁동
다사405446,수궁동,10000,수궁동
다사428434,개봉3동,10000,개봉3동
다사405435,오류2동,10000,오류2동
다사450434,구로1동,10000,구로1동
다사452431,가리봉동,3094.928,가리봉동
다사452431,가리봉동,3937.649,가리봉동
다사429441,개봉2동,9777.29,개봉2동
다사429441,개봉2동,222.71,개봉2동
다사458436,구로2동,1402.862,구로2동
다사458436,구로2동,8597.138,구로2동
다사408442,수궁동,10000,수궁동
다사438448,고척1동,10000,고척1동
다사422450,개봉1동,10000,개봉1동
다사444440,구로1동,10000,구로1동
다사413440,수궁동,10000,수궁동
다사457440,구로2동,10000,구로2동
다사448443,구로1동,10000,구로1동
다사433454,고척2동,10000,고척2동
다사437448,고척1동,10000,고척1동
다사456457,신도림동,10000,신도림동
다사463453,구로5동,9782.841,구로5동
다사429442,개봉1동,221.659,개봉1동
다사429442,개봉1동,9778.341,개봉1동
다사429443,개봉1동,10000,개봉1동
다사462449,구로5동,10000,구로5동
다사420439,오류2동,10000,오류2동
다사464439,구로4동,10000,구로4동
다사429447,개봉1동,10000,개봉1동
다사416445,오류1동,10000,오류1동
다사416428,오류2동,10000,오류2동
다사403424,항동,10000,항동
다사421443,오류1동,10000,오류1동
다사423444,오류1동,7706.47,오류1동
다사423444,오류1동,2293.53,오류1동
다사426445,개봉1동,10000,개봉1동
다사450455,신도림동,10000,신도림동
다사398442,수궁동,10000,수궁동
다사401438,수궁동,10000,수궁동
다사414426,오류2동,10000,오류2동
다사432452,고척2동,10000,고척2동
다사453437,구로2동,10000,구로2동
다사417445,오류1동,10000,오류1동
다사456433,구로4동,7367.489,구로4동
다사456433,구로4동,2632.511,구로4동
다사425455,고척2동,10000,고척2동
다사417448,개봉1동,10000,개봉1동
다사455447,구로5동,10000,구로5동
다사404431,항동,10000,항동
다사452439,구로2동,10000,구로2동
다사425441,개봉2동,10000,개봉2동
다사418425,오류2동,10000,오류2동
다사448450,구로2동,10000,구로2동
다사458426,가리봉동,9566.593,가리봉동
다사461428,가리봉동,2285.979,가리봉동
다사461428,가리봉동,7714.021,가리봉동
다사428452,고척2동,10000,고척2동
다사438442,고척1동,10000,고척1동
다사454430,가리봉동,9252.969,가리봉동
다사434452,고척2동,10000,고척2동
다사460432,구로3동,10000,구로3동
다사464438,구로4동,10000,구로4동
다사429446,개봉1동,10000,개봉1동
다사455446,구로5동,6475.131,구로5동
다사455446,구로5동,3524.869,구로5동
다사422438,오류2동,10000,오류2동
다사454433,구로2동,10000,구로2동
다사436447,고척1동,10000,고척1동
다사466423,구로3동,6132.984,구로3동
다사466423,구로3동,627.962,구로3동
다사410447,수궁동,10000,수궁동
다사437440,개봉1동,511.824,개봉1동
다사437440,개봉1동,2311.941,개봉1동
다사437440,개봉1동,7176.235,개봉1동
다사401421,항동,10000,항동
다사427440,개봉2동,10000,개봉2동
다사401427,항동,10000,항동
다사429435,개봉3동,10.387,개봉3동
다사429435,개봉3동,9989.613,개봉3동
다사433435,개봉2동,6080.1,개봉2동
다사433435,개봉2동,3919.9,개봉2동
다사437447,고척1동,10000,고척1동
다사402424,항동,10000,항동
다사424427,개봉3동,8088.687,개봉3동
다사398421,항동,8847.444,항동
다사426450,고척2동,10000,고척2동
다사461435,구로4동,1233.487,구로4동
다사461435,구로4동,8766.513,구로4동
다사398438,수궁동,10000,수궁동
다사400437,수궁동,10000,수궁동
다사456448,구로5동,10000,구로5동
다사459433,구로4동,4024.003,구로4동
다사459433,구로4동,5975.997,구로4동
다사459451,구로5동,10000,구로5동
다사417437,오류2동,10000,오류2동
다사455454,신도림동,10000,신도림동
다사466425,구로3동,10000,구로3동
다사468427,구로3동,10000,구로3동
다사457448,구로5동,10000,구로5동
다사403439,수궁동,10000,수궁동
다사432455,고척2동,10000,고척2동
다사457458,신도림동,10000,신도림동
다사402444,수궁동,10000,수궁동
다사448442,구로1동,10000,구로1동
다사424456,고척2동,10000,고척2동
다사448440,구로1동,10000,구로1동
다사452455,신도림동,10000,신도림동
다사456442,구로2동,10000,구로2동
다사462439,구로4동,10000,구로4동
다사413427,오류2동,10000,오류2동
다사469426,구로3동,8377.465,구로3동
다사436453,고척2동,3779.046,고척2동
다사436453,고척2동,5224.439,고척2동
다사415429,오류2동,10000,오류2동
다사418421,오류2동,10000,오류2동
다사418449,개봉1동,10000,개봉1동
다사419438,오류2동,10000,오류2동
다사465436,구로3동,8973.201,구로3동
다사429430,개봉3동,7553.786,개봉3동
다사462442,구로4동,10000,구로4동
다사413433,오류2동,10000,오류2동
다사452458,신도림동,10000,신도림동
다사403440,수궁동,10000,수궁동
다사413436,오류2동,10000,오류2동
다사423446,개봉1동,10000,개봉1동
다사426430,개봉3동,10000,개봉3동
다사427449,고척2동,10000,고척2동
다사435438,개봉2동,10000,개봉2동
다사399422,항동,10000,항동
다사461432,구로3동,10000,구로3동
다사449458,신도림동,9804.234,신도림동
다사459457,신도림동,10000,신도림동
다사420443,오류1동,10000,오류1동
다사442448,고척1동,9374.363,고척1동
다사442448,고척1동,625.637,고척1동
다사416434,오류2동,10000,오류2동
다사452434,구로2동,10000,구로2동
다사469427,구로3동,10000,구로3동
다사414436,오류2동,10000,오류2동
다사460430,구로3동,10000,구로3동
다사407436,오류2동,10000,오류2동
다사455453,신도림동,10000,신도림동
다사460445,구로5동,10000,구로5동
다사403426,항동,10000,항동
다사412435,오류2동,10000,오류2동
