gid,lbl,val_200,d_name,cctv_21,g2_env,g3_flow,w1_female,w2_dandock,index_k,index_rank
다사415444,40,40,오류1동,4.926,0,2.5,1,1.041,7.73,646
다사406443,111,111,수궁동,5.009,0,2.5,1,1,7.509,669
다사407446,24,24,수궁동,8.627,0,2,1,1,10.627,386
다사410449,N/A,0,수궁동,0,0,1,1,1.041,1.041,1290
다사415435,11,11,오류2동,0.09,0,1.5,1,1,1.59,1250
다사402435,130,130,수궁동,6.683,0,2,1,1,8.683,560
다사427447,316,316,고척2동,3.361,1.43,2,1,1.041,7.069,715
다사438444,122,122,고척1동,5.264,0.5,2.5,1,1,8.264,592
다사452446,677,677,구로2동,3.954,0,2.5,1,1,6.454,776
다사456437,115,115,구로2동,8.989,0,3,1,1.041,12.481,213
다사427435,391,391,개봉3동,0,0,1.5,1,1.041,1.562,1252
다사430432,159,159,개봉3동,7.441,0.21,3.5,1,1.041,11.608,290
다사457451,416,416,구로5동,8.039,0,4,1.095,1,13.183,102
다사414441,374,374,오류1동,4.639,0,5,1,1.041,10.034,435
다사445440,387,387,구로1동,5.222,0,3.5,1.095,1,9.551,480
다사462426,102,102,구로3동,0.208,0,3.5,1,1,3.708,1042
다사414429,180,180,오류2동,10,0,1,1,1,11,354
다사450453,861,861,신도림동,9.721,0,3.5,1.095,1,14.477,32
다사403434,101,101,항동,7.94,0,1.5,1,1,9.44,486
다사452440,349,349,구로2동,4.847,0,4,1,1.041,9.21,503
다사456432,303,303,구로2동,2.677,0.83,4,1,1.041,7.815,636
다사455434,121,121,구로2동,2.346,1.52,1,1,1.041,5.066,907
다사461429,106,106,구로3동,1.7,0.385,1,1,1.041,3.211,1093
다사399429,206,206,항동,10,0,4.5,1,1.041,15.094,18
다사426446,297,297,개봉1동,1.558,0,3.5,1,1.041,5.265,888
다사429454,301,301,고척2동,0.001,0,2,1,1.041,2.083,1199
다사432440,14,14,개봉2동,5.744,1.515,4,1,1,11.259,334
다사419430,N/A,0,오류2동,0,0,3.5,1,1,3.5,1068
다사422455,99,99,고척2동,3.564,0,3,1,1.041,6.833,736
다사415437,580,580,오류2동,8.031,0,3.5,1,1,11.531,293
다사415438,886,886,오류2동,10,0,5,1.095,1,16.425,2
다사448445,N/A,0,구로1동,0,0,3,1,1,3,1117
다사404435,312,312,오류2동,1.564,0,1.5,1.095,1,3.355,1082
다사417439,271,271,오류2동,2.87,0,3.5,1.095,1,6.975,722
다사431447,161,161,고척1동,1.362,0,2,1,1.041,3.5,1068
다사457434,742,742,구로4동,5.973,0,4,1,1,9.973,443
다사454439,141,141,구로2동,5.789,1.25,4.5,1,1.041,12.012,243
다사457432,639,639,구로4동,0.25,0,5,1,1,5.25,890
다사454432,257,257,구로2동,0.343,0,2.5,1,1.041,2.96,1124
다사462441,14,14,구로4동,3.59,0,2.5,1,1,6.09,810
다사403422,661,661,항동,10,0,2,1.095,1,13.14,107
다사462424,448,448,가리봉동,0.29,0.485,5,1.095,1.041,6.583,763
다사424428,151,151,개봉3동,6.95,0,2.5,1,1,9.45,485
다사453445,331,331,구로2동,6.849,1.67,4,1,1.041,13.032,153
다사413444,317,317,오류1동,3.257,0,2.5,1,1.041,5.993,818
다사427433,420,420,개봉3동,0.407,0,2.5,1,1.041,3.026,1116
다사423440,515,515,오류2동,4.338,0,5,1,1.041,9.721,469
다사465433,158,158,구로3동,0.664,0,3.5,1,1.041,4.335,987
다사400443,828,828,수궁동,6.245,0,4.5,1,1,10.745,381
다사404424,208,208,항동,10,0,2.5,1.095,1,13.688,68
다사440442,N/A,0,고척1동,0,0,1,1,1.041,1.041,1290
다사411444,10,10,수궁동,10,0,1.5,1,1.041,11.971,263
다사458447,351,351,구로5동,2.28,0,3,1,1.041,5.496,866
다사432436,183,183,개봉2동,0,0,3.5,1,1.041,3.643,1051
다사413441,364,364,수궁동,9.624,0,4,1,1,13.624,83
다사417436,405,405,오류2동,0.263,0,4,1.095,1.041,4.859,930
다사407423,N/A,0,항동,0,0,0,1,1,0,1725
다사461449,6,6,구로5동,9.327,0,5,1,1,14.327,35
다사464441,8,8,구로4동,7.342,0.68,1,1,1.041,9.392,489
다사424454,491,491,고척2동,0,0,2.5,1.095,1.041,2.85,1135
다사445443,489,489,구로1동,8.774,0,4,1.095,1,13.988,58
다사464427,N/A,0,구로3동,0,0.5,3.5,1,1,4,1016
다사425447,337,337,개봉1동,5.108,0,3.5,1,1.041,8.961,535
다사431453,20,20,고척2동,0.587,0.5,2.5,1,1.041,3.734,1035
다사457429,74,74,가리봉동,0,2.385,3,1,1.041,5.606,851
다사453430,17,17,가리봉동,4.958,0,1,1,1.041,6.202,802
다사420449,432,432,개봉1동,0.838,0,3,1.095,1.041,4.375,977
다사456459,12,12,신도림동,2.515,0.21,5,1,1,7.725,647
다사451460,16,16,신도림동,2.313,0,2,1,1,4.313,990
다사431448,201,201,고척1동,1.347,0,2,1,1,3.347,1083
다사454461,64,64,신도림동,3.366,0,1,1,1,4.366,978
다사428456,414,414,고척2동,5.929,0.28,4,1.095,1,11.179,345
다사461443,221,221,구로5동,5.62,0,5,1.095,1,11.629,289
다사408433,326,326,오류2동,5.446,0,3,1.095,1,9.248,499
다사410433,346,346,오류2동,8.6,0,4,1,1,12.6,188
다사407448,26,26,수궁동,3.25,0,1,1,1,4.25,997
다사459445,330,330,구로5동,0.475,0,4,1,1.041,4.658,945
다사466433,957,957,구로3동,8.104,0,4.5,1.095,1,13.801,65
다사432454,302,302,고척2동,7.03,1.5,2.5,1.095,1.041,12.573,196
다사439446,141,141,고척1동,5.165,0,2,1.095,1,7.846,633
