gid,lbl,val_200,d_name,cctv_20,g2_env,g3_flow,w1_female,w2_dandock,index_k,index_rank
다사428434,691,691,개봉3동,2.248,0,2.5,1,1.041,4.943,988
다사405435,119,119,오류2동,6.439,0,1,1,1,7.439,770
다사450434,36,36,구로1동,9.4,0,1,1,1,10.4,496
다사452431,42,42,가리봉동,6.199,0,1,1,1.041,7.494,762
다사429441,967,967,개봉2동,9.654,0,4,1.095,1,14.951,38
다사458436,195,195,구로2동,1.079,0.185,3,1,1.041,4.439,1033
다사408442,216,216,수궁동,2.653,0,2,1,1,4.653,1018
다사438448,583,583,고척1동,5.621,0,4,1.095,1,10.535,483
다사422450,154,154,개봉1동,7.308,1.365,3,1,1.041,12.152,287
다사444440,249,249,구로1동,10,0,2.5,1.095,1,13.688,94
다사413440,171,171,수궁동,10,0,2.5,1,1.041,13.013,201
다사457440,254,254,구로2동,8.985,1.11,3,1.095,1,14.339,56
다사448443,298,298,구로1동,10,0,4,1.095,1,15.33,17
다사433454,369,369,고척2동,5.394,0,4,1,1,9.394,588
다사437448,797,797,고척1동,4.204,0.715,3.5,1,1,8.419,673
다사456457,310,310,신도림동,10,0.135,3.5,1.095,1,14.93,40
다사463453,10,10,구로5동,3.635,0,3,1,1,6.635,853
다사429442,996,996,개봉1동,10,0,2.5,1.095,1,13.688,94
다사429443,N/A,0,개봉1동,0,0,2.5,1,1,2.5,1200
다사462449,843,843,구로5동,1.998,0.555,4,1.095,1,7.176,797
다사420439,189,189,오류2동,0.919,0.25,4,1,1.041,5.381,957
다사464439,48,48,구로4동,2.006,0,3,1,1,5.006,982
다사429447,356,356,개봉1동,5.362,0,1.5,1,1.041,7.143,801
다사416445,155,155,오류1동,6.336,0,4,1,1.041,10.76,462
다사416428,342,342,오류2동,9.475,0,3.5,1,1,12.975,217
다사403424,707,707,항동,10,0,2,1.095,1,13.14,140
다사421443,557,557,오류1동,4.408,1.11,2.5,1.095,1,8.78,647
다사423444,563,563,오류1동,8.582,0,3,1.095,1,12.682,233
다사426445,106,106,개봉1동,8.45,0.835,2.5,1,1.041,12.268,280
다사450455,67,67,신도림동,5.875,0,3,1,1.041,9.239,604
다사398442,N/A,0,수궁동,0,0,0,1,1,0,1725
다사401438,103,103,수궁동,2.573,1,2.5,1,1,6.073,900
