"d_code","j_code","month","flow1_tot","flow2_tot"
11530520,1117052020401,202011,4295.1481,6701.7058
11530520,1117052020402,202011,1925.4189,3359.6355
11530520,1117052020403,202011,1407.3802,2517.4837
11530520,1117052020404,202011,1744.8263,2650.7419
11530520,1117052020501,202011,863.5259,1606.4234
11530520,1117052020502,202011,3061.2954,5123.6882
11530520,1117052020503,202011,1843.1766,2901.3809
11530520,1117052020504,202011,352.4543,937.8459
11530520,1117052020701,202011,641.3213,1124.0616
11530520,1117052020702,202011,1274.3517,2898.1207
11530520,1117052020703,202011,773.5674,1302.9017
11530520,1117052020801,202011,537.1768,1047.4267
11530540,1.117054e+12,202011,1114844.4966,803863.0415
11530540,1117054010001,202011,6606.0726,4671.7891
11530540,1117054010002,202011,41653.7684,14663.0489
11530540,1117054010003,202011,0,0
11530540,1117054010101,202011,1030.4931,2405.5324
11530540,1117054010102,202011,2658.9156,3555.9411
11530540,1117054010103,202011,1437.8653,4843.4666
11530540,1117054010104,202011,636.4187,768.3757
11530540,1117054010201,202011,2218.9503,1869.679
11530540,1117054010202,202011,1331.8549,1188.7107
11530540,1117054010401,202011,1076.572,2378.7812
11530540,1117054010501,202011,944.9475,1892.228
11530540,1117054010502,202011,1178.9704,1412.9977
11530540,1117054010503,202011,3727.5045,8381.005
11530540,1117054010504,202011,832.5159,2300.5044
11530540,1117054010505,202011,1631.9197,2446.9409
11530540,1117054010506,202011,1312.0884,3087.1749
11530540,1117054010507,202011,1040.3297,2672.4704
11530540,1117054010601,202011,887.3692,2204.7087
11530540,1117054010701,202011,784.2653,1375.2933
11530540,1117054010702,202011,1331.5018,2776.2376
11530540,1117054010703,202011,716.1742,1743.3853
11530540,1117054020001,202011,8063.5786,9896.5023
11530540,1117054020002,202011,675.5668,1803.2201
11530540,1117054020003,202011,2218.6181,2768.3337
11530540,1117054020004,202011,725.0753,2798.0167
11530540,1117054020005,202011,3128.9998,1731.8452
11530540,1117054020006,202011,22014.9403,5587.4824
11530540,1117054020101,202011,485.1158,2137.0481
11530540,1117054020102,202011,1312.7678,2857.8974
11530540,1117054020103,202011,4972.5654,3972.2818
11530540,1117054020104,202011,556.9792,748.2018
11530540,1117054020105,202011,0,0
11530540,1117054020901,202011,423.0937,1996.5159
11530540,1117054020902,202011,469.65,1500.7416
11530540,1117054020903,202011,934.9511,2031.2617
11530540,1117054030001,202011,15490.8753,10895.6215
11530540,1117054030002,202011,81771.4887,23920.5288
11530540,1117054030003,202011,2685.4706,2435.9352
